year,Esta
1880,9
1881,13
1882,10
1883,10
1884,14
1885,14
1886,23
1887,24
1888,24
1889,36
1890,22
1891,45
1892,28
1893,32
1894,47
1895,44
1896,37
1897,41
1898,38
1899,44
1900,56
1901,33
1902,56
1903,36
1904,44
1905,42
1906,51
1907,47
1908,50
1909,48
1910,49
1911,51
1912,70
1913,83
1914,90
1915,96
1916,110
1917,113
1918,105
1919,94
1920,117
1921,102
1922,85
1923,98
1924,92
1925,95
1926,81
1927,74
1928,69
1929,70
1930,65
1931,61
1932,62
1933,56
1934,70
1935,46
1936,64
1937,46
1938,47
1939,47
1940,63
1941,45
1942,43
1943,53
1944,37
1945,44
1946,43
1947,36
1948,49
1949,34
1950,39
1951,45
1952,28
1953,45
1954,24
1955,32
1956,26
1957,26
1958,25
1959,19
1960,24
1961,18
1962,14
1963,14
1964,17
1965,18
1966,10
1967,11
1968,8
1969,9
1970,11
1971,12
1972,9
1973,5
1974,11
1975,9
1976,7
1977,0
1978,9
1979,9
1980,6
1981,6
1982,5
1983,5
1984,0
1985,8
1986,7
1987,10
1988,5
1989,0
1990,0
1991,5
1992,0
1993,6
1994,8
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,5
2011,5
2012,0
