year,Elodia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,5
1898,0
1899,5
1900,5
1901,0
1902,6
1903,5
1904,7
1905,0
1906,0
1907,6
1908,0
1909,0
1910,7
1911,0
1912,9
1913,0
1914,11
1915,11
1916,7
1917,10
1918,16
1919,16
1920,13
1921,30
1922,25
1923,30
1924,35
1925,30
1926,32
1927,48
1928,31
1929,35
1930,36
1931,34
1932,31
1933,30
1934,30
1935,22
1936,35
1937,29
1938,27
1939,29
1940,25
1941,29
1942,25
1943,33
1944,39
1945,34
1946,27
1947,37
1948,33
1949,29
1950,31
1951,25
1952,22
1953,13
1954,16
1955,16
1956,16
1957,29
1958,19
1959,15
1960,16
1961,19
1962,12
1963,14
1964,16
1965,16
1966,15
1967,12
1968,10
1969,14
1970,16
1971,16
1972,12
1973,17
1974,8
1975,8
1976,8
1977,7
1978,14
1979,11
1980,17
1981,16
1982,12
1983,10
1984,16
1985,5
1986,8
1987,6
1988,5
1989,9
1990,7
1991,10
1992,13
1993,9
1994,11
1995,9
1996,15
1997,9
1998,6
1999,12
2000,7
2001,7
2002,8
2003,0
2004,9
2005,9
2006,9
2007,0
2008,7
2009,0
2010,0
2011,0
2012,0
