year,Elodie
1880,0
1881,5
1882,0
1883,8
1884,5
1885,5
1886,9
1887,0
1888,0
1889,0
1890,8
1891,7
1892,8
1893,7
1894,7
1895,10
1896,7
1897,7
1898,5
1899,6
1900,0
1901,0
1902,5
1903,0
1904,6
1905,5
1906,12
1907,0
1908,8
1909,8
1910,6
1911,18
1912,8
1913,11
1914,15
1915,8
1916,13
1917,19
1918,11
1919,15
1920,10
1921,9
1922,15
1923,17
1924,10
1925,13
1926,12
1927,9
1928,9
1929,11
1930,11
1931,11
1932,9
1933,6
1934,14
1935,7
1936,8
1937,8
1938,6
1939,14
1940,0
1941,7
1942,8
1943,6
1944,7
1945,5
1946,6
1947,15
1948,6
1949,7
1950,8
1951,6
1952,12
1953,5
1954,5
1955,10
1956,5
1957,7
1958,5
1959,5
1960,6
1961,0
1962,0
1963,6
1964,0
1965,0
1966,5
1967,0
1968,5
1969,0
1970,0
1971,5
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,9
1989,5
1990,8
1991,7
1992,7
1993,12
1994,9
1995,6
1996,5
1997,10
1998,14
1999,13
2000,13
2001,25
2002,25
2003,21
2004,35
2005,35
2006,38
2007,47
2008,86
2009,65
2010,75
2011,108
2012,149
