year,Elex
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,6
1897,0
1898,5
1899,0
1900,5
1901,0
1902,8
1903,0
1904,0
1905,5
1906,6
1907,8
1908,0
1909,0
1910,11
1911,8
1912,10
1913,12
1914,11
1915,10
1916,20
1917,10
1918,12
1919,17
1920,9
1921,16
1922,13
1923,12
1924,7
1925,12
1926,0
1927,14
1928,16
1929,12
1930,11
1931,7
1932,9
1933,14
1934,10
1935,5
1936,12
1937,14
1938,12
1939,6
1940,6
1941,6
1942,9
1943,10
1944,9
1945,6
1946,0
1947,6
1948,6
1949,8
1950,5
1951,6
1952,5
1953,5
1954,10
1955,0
1956,6
1957,11
1958,0
1959,10
1960,5
1961,5
1962,0
1963,5
1964,0
1965,8
1966,0
1967,8
1968,6
1969,6
1970,0
1971,6
1972,0
1973,7
1974,0
1975,0
1976,0
1977,5
1978,9
1979,6
1980,6
1981,0
1982,5
1983,5
1984,0
1985,0
1986,9
1987,6
1988,0
1989,0
1990,0
1991,0
1992,10
1993,5
1994,0
1995,6
1996,0
1997,6
1998,7
1999,5
2000,5
2001,6
2002,0
2003,5
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,6
