year,Elinor
1880,9
1881,8
1882,10
1883,7
1884,13
1885,18
1886,16
1887,11
1888,21
1889,24
1890,23
1891,20
1892,15
1893,34
1894,27
1895,24
1896,34
1897,34
1898,39
1899,27
1900,52
1901,41
1902,34
1903,40
1904,52
1905,61
1906,69
1907,100
1908,91
1909,116
1910,133
1911,176
1912,268
1913,279
1914,358
1915,508
1916,580
1917,548
1918,571
1919,589
1920,656
1921,612
1922,539
1923,556
1924,595
1925,541
1926,605
1927,605
1928,525
1929,527
1930,509
1931,465
1932,377
1933,441
1934,409
1935,354
1936,340
1937,298
1938,301
1939,267
1940,285
1941,255
1942,261
1943,204
1944,162
1945,121
1946,155
1947,131
1948,129
1949,125
1950,87
1951,110
1952,121
1953,100
1954,76
1955,91
1956,80
1957,64
1958,55
1959,53
1960,69
1961,57
1962,48
1963,48
1964,41
1965,40
1966,31
1967,26
1968,26
1969,32
1970,26
1971,27
1972,31
1973,9
1974,23
1975,18
1976,11
1977,21
1978,28
1979,24
1980,21
1981,28
1982,18
1983,14
1984,27
1985,17
1986,26
1987,24
1988,24
1989,32
1990,22
1991,30
1992,27
1993,32
1994,27
1995,54
1996,44
1997,48
1998,54
1999,66
2000,49
2001,57
2002,71
2003,64
2004,71
2005,65
2006,74
2007,83
2008,102
2009,96
2010,105
2011,99
2012,134
