year,Ely
1880,5
1881,8
1882,12
1883,0
1884,0
1885,0
1886,5
1887,6
1888,6
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,10
1896,9
1897,5
1898,8
1899,6
1900,7
1901,6
1902,0
1903,5
1904,5
1905,0
1906,6
1907,0
1908,5
1909,0
1910,10
1911,6
1912,13
1913,17
1914,19
1915,25
1916,21
1917,24
1918,37
1919,20
1920,25
1921,21
1922,19
1923,15
1924,22
1925,16
1926,11
1927,16
1928,13
1929,12
1930,5
1931,11
1932,8
1933,15
1934,16
1935,7
1936,0
1937,7
1938,6
1939,15
1940,8
1941,5
1942,9
1943,6
1944,11
1945,8
1946,6
1947,13
1948,10
1949,9
1950,8
1951,13
1952,7
1953,6
1954,8
1955,6
1956,10
1957,8
1958,10
1959,8
1960,0
1961,11
1962,8
1963,10
1964,0
1965,6
1966,8
1967,9
1968,11
1969,12
1970,16
1971,19
1972,12
1973,17
1974,22
1975,21
1976,29
1977,31
1978,34
1979,34
1980,35
1981,38
1982,33
1983,38
1984,37
1985,33
1986,39
1987,28
1988,33
1989,49
1990,52
1991,65
1992,53
1993,55
1994,40
1995,49
1996,43
1997,64
1998,62
1999,75
2000,100
2001,99
2002,103
2003,101
2004,160
2005,165
2006,159
2007,164
2008,170
2009,174
2010,158
2011,166
2012,154
