year,Ewing
1880,0
1881,0
1882,7
1883,0
1884,5
1885,10
1886,0
1887,7
1888,0
1889,0
1890,6
1891,0
1892,5
1893,6
1894,0
1895,10
1896,5
1897,6
1898,9
1899,0
1900,5
1901,6
1902,11
1903,0
1904,5
1905,0
1906,0
1907,8
1908,0
1909,5
1910,14
1911,9
1912,21
1913,24
1914,23
1915,35
1916,29
1917,38
1918,24
1919,27
1920,33
1921,33
1922,36
1923,32
1924,31
1925,43
1926,27
1927,30
1928,29
1929,17
1930,19
1931,20
1932,18
1933,21
1934,18
1935,31
1936,12
1937,14
1938,13
1939,19
1940,11
1941,17
1942,29
1943,7
1944,16
1945,7
1946,15
1947,14
1948,13
1949,12
1950,7
1951,13
1952,11
1953,13
1954,9
1955,12
1956,13
1957,10
1958,0
1959,7
1960,5
1961,10
1962,0
1963,0
1964,0
1965,5
1966,0
1967,5
1968,0
1969,0
1970,11
1971,7
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,5
1981,6
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,6
2012,0
