year,Elena
1880,8
1881,5
1882,0
1883,0
1884,10
1885,7
1886,11
1887,7
1888,15
1889,11
1890,11
1891,17
1892,15
1893,17
1894,27
1895,26
1896,25
1897,18
1898,22
1899,23
1900,23
1901,29
1902,37
1903,23
1904,40
1905,34
1906,40
1907,43
1908,57
1909,50
1910,65
1911,84
1912,83
1913,116
1914,132
1915,164
1916,166
1917,162
1918,188
1919,175
1920,177
1921,212
1922,206
1923,211
1924,213
1925,213
1926,231
1927,242
1928,251
1929,213
1930,218
1931,175
1932,200
1933,178
1934,164
1935,130
1936,150
1937,149
1938,154
1939,127
1940,135
1941,198
1942,205
1943,224
1944,224
1945,216
1946,241
1947,256
1948,281
1949,266
1950,258
1951,267
1952,275
1953,316
1954,333
1955,411
1956,346
1957,403
1958,440
1959,397
1960,431
1961,399
1962,420
1963,483
1964,507
1965,457
1966,528
1967,519
1968,475
1969,518
1970,505
1971,518
1972,491
1973,434
1974,545
1975,517
1976,527
1977,540
1978,573
1979,629
1980,630
1981,661
1982,619
1983,563
1984,541
1985,728
1986,644
1987,591
1988,617
1989,734
1990,760
1991,742
1992,791
1993,822
1994,927
1995,947
1996,947
1997,970
1998,1137
1999,1467
2000,1365
2001,1392
2002,1357
2003,1465
2004,1589
2005,1608
2006,1872
2007,1741
2008,1623
2009,1679
2010,1881
2011,1935
2012,2268
