year,Elvia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,6
1892,0
1893,6
1894,8
1895,8
1896,6
1897,5
1898,8
1899,12
1900,9
1901,8
1902,16
1903,8
1904,11
1905,8
1906,11
1907,14
1908,9
1909,13
1910,19
1911,17
1912,17
1913,24
1914,24
1915,21
1916,31
1917,32
1918,34
1919,28
1920,22
1921,37
1922,37
1923,27
1924,33
1925,46
1926,30
1927,35
1928,29
1929,40
1930,32
1931,30
1932,25
1933,22
1934,36
1935,28
1936,26
1937,37
1938,42
1939,40
1940,32
1941,37
1942,39
1943,43
1944,57
1945,46
1946,66
1947,79
1948,107
1949,77
1950,73
1951,110
1952,75
1953,83
1954,76
1955,90
1956,90
1957,86
1958,94
1959,91
1960,99
1961,94
1962,101
1963,75
1964,113
1965,102
1966,82
1967,88
1968,90
1969,92
1970,92
1971,101
1972,72
1973,105
1974,113
1975,127
1976,92
1977,96
1978,95
1979,95
1980,118
1981,102
1982,76
1983,89
1984,103
1985,149
1986,88
1987,104
1988,112
1989,112
1990,135
1991,153
1992,142
1993,108
1994,103
1995,98
1996,87
1997,82
1998,84
1999,88
2000,69
2001,64
2002,51
2003,59
2004,58
2005,67
2006,53
2007,57
2008,53
2009,48
2010,35
2011,33
2012,34
