year,Eldred
1880,0
1881,0
1882,5
1883,7
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,8
1893,0
1894,5
1895,7
1896,9
1897,0
1898,9
1899,0
1900,0
1901,5
1902,14
1903,0
1904,9
1905,14
1906,0
1907,8
1908,9
1909,13
1910,23
1911,30
1912,44
1913,68
1914,90
1915,113
1916,93
1917,131
1918,109
1919,101
1920,133
1921,168
1922,119
1923,132
1924,116
1925,111
1926,100
1927,101
1928,105
1929,98
1930,90
1931,85
1932,75
1933,67
1934,57
1935,57
1936,37
1937,61
1938,49
1939,65
1940,39
1941,59
1942,44
1943,26
1944,28
1945,29
1946,31
1947,42
1948,31
1949,25
1950,30
1951,31
1952,32
1953,33
1954,27
1955,28
1956,38
1957,50
1958,26
1959,36
1960,20
1961,31
1962,27
1963,27
1964,18
1965,22
1966,27
1967,30
1968,26
1969,22
1970,30
1971,19
1972,15
1973,16
1974,11
1975,20
1976,6
1977,11
1978,13
1979,10
1980,13
1981,14
1982,9
1983,12
1984,12
1985,10
1986,7
1987,11
1988,7
1989,10
1990,12
1991,6
1992,11
1993,10
1994,6
1995,5
1996,5
1997,0
1998,7
1999,0
2000,9
2001,6
2002,0
2003,0
2004,0
2005,0
2006,9
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
