year,Emilio
1880,0
1881,0
1882,6
1883,5
1884,7
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,7
1896,5
1897,0
1898,0
1899,8
1900,15
1901,10
1902,7
1903,8
1904,14
1905,8
1906,9
1907,17
1908,16
1909,23
1910,21
1911,19
1912,50
1913,59
1914,82
1915,85
1916,99
1917,101
1918,109
1919,91
1920,123
1921,114
1922,118
1923,139
1924,166
1925,164
1926,130
1927,141
1928,178
1929,146
1930,175
1931,136
1932,135
1933,119
1934,126
1935,113
1936,98
1937,91
1938,102
1939,88
1940,91
1941,91
1942,90
1943,101
1944,119
1945,100
1946,100
1947,141
1948,126
1949,134
1950,126
1951,131
1952,134
1953,148
1954,131
1955,153
1956,131
1957,149
1958,145
1959,144
1960,148
1961,146
1962,148
1963,159
1964,152
1965,156
1966,132
1967,172
1968,159
1969,185
1970,176
1971,185
1972,199
1973,198
1974,201
1975,196
1976,182
1977,224
1978,206
1979,204
1980,204
1981,235
1982,253
1983,226
1984,214
1985,221
1986,243
1987,288
1988,347
1989,460
1990,512
1991,565
1992,600
1993,674
1994,616
1995,643
1996,767
1997,815
1998,788
1999,769
2000,790
2001,756
2002,815
2003,956
2004,1074
2005,1214
2006,1122
2007,1246
2008,1208
2009,1025
2010,1033
2011,1086
2012,1166
