year,Elgin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,7
1890,10
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,6
1898,0
1899,8
1900,5
1901,8
1902,10
1903,0
1904,5
1905,12
1906,0
1907,10
1908,0
1909,6
1910,15
1911,14
1912,25
1913,27
1914,28
1915,48
1916,49
1917,52
1918,62
1919,66
1920,69
1921,60
1922,68
1923,52
1924,48
1925,58
1926,41
1927,78
1928,42
1929,41
1930,45
1931,28
1932,37
1933,29
1934,31
1935,39
1936,35
1937,31
1938,33
1939,23
1940,30
1941,38
1942,36
1943,35
1944,24
1945,27
1946,25
1947,29
1948,28
1949,37
1950,41
1951,24
1952,35
1953,31
1954,31
1955,26
1956,30
1957,35
1958,20
1959,38
1960,34
1961,48
1962,49
1963,40
1964,46
1965,44
1966,50
1967,56
1968,46
1969,68
1970,67
1971,59
1972,50
1973,33
1974,38
1975,34
1976,20
1977,32
1978,48
1979,45
1980,34
1981,39
1982,23
1983,26
1984,40
1985,31
1986,28
1987,35
1988,36
1989,29
1990,43
1991,36
1992,12
1993,23
1994,29
1995,21
1996,15
1997,25
1998,24
1999,14
2000,23
2001,19
2002,22
2003,28
2004,26
2005,39
2006,26
2007,21
2008,34
2009,27
2010,17
2011,23
2012,32
