year,Elder
1880,8
1881,7
1882,0
1883,5
1884,7
1885,0
1886,7
1887,0
1888,5
1889,6
1890,0
1891,0
1892,5
1893,5
1894,0
1895,8
1896,7
1897,0
1898,10
1899,13
1900,11
1901,6
1902,6
1903,5
1904,7
1905,9
1906,5
1907,0
1908,0
1909,0
1910,11
1911,6
1912,19
1913,13
1914,25
1915,20
1916,28
1917,21
1918,33
1919,21
1920,25
1921,20
1922,22
1923,23
1924,38
1925,19
1926,34
1927,23
1928,21
1929,24
1930,8
1931,21
1932,17
1933,15
1934,14
1935,11
1936,14
1937,11
1938,6
1939,11
1940,14
1941,7
1942,15
1943,7
1944,10
1945,10
1946,6
1947,10
1948,9
1949,11
1950,11
1951,6
1952,7
1953,0
1954,8
1955,7
1956,9
1957,5
1958,0
1959,7
1960,7
1961,0
1962,0
1963,6
1964,5
1965,0
1966,0
1967,5
1968,0
1969,7
1970,6
1971,9
1972,6
1973,6
1974,0
1975,0
1976,5
1977,5
1978,5
1979,7
1980,7
1981,7
1982,0
1983,9
1984,7
1985,7
1986,15
1987,0
1988,7
1989,11
1990,24
1991,14
1992,24
1993,19
1994,17
1995,22
1996,22
1997,23
1998,36
1999,32
2000,32
2001,28
2002,46
2003,39
2004,36
2005,39
2006,56
2007,56
2008,48
2009,41
2010,41
2011,35
2012,27
