year,Elisa
1880,5
1881,0
1882,8
1883,8
1884,10
1885,8
1886,12
1887,16
1888,15
1889,11
1890,13
1891,11
1892,17
1893,10
1894,12
1895,13
1896,13
1897,17
1898,13
1899,9
1900,21
1901,17
1902,12
1903,16
1904,24
1905,15
1906,26
1907,28
1908,27
1909,33
1910,34
1911,28
1912,39
1913,40
1914,55
1915,60
1916,78
1917,76
1918,67
1919,83
1920,102
1921,104
1922,108
1923,97
1924,121
1925,106
1926,118
1927,111
1928,160
1929,118
1930,133
1931,117
1932,119
1933,99
1934,120
1935,102
1936,112
1937,94
1938,94
1939,74
1940,83
1941,74
1942,82
1943,115
1944,108
1945,90
1946,112
1947,112
1948,132
1949,135
1950,115
1951,164
1952,188
1953,263
1954,238
1955,302
1956,288
1957,329
1958,385
1959,450
1960,515
1961,546
1962,550
1963,717
1964,642
1965,614
1966,681
1967,635
1968,655
1969,647
1970,691
1971,678
1972,606
1973,591
1974,560
1975,494
1976,544
1977,558
1978,590
1979,733
1980,712
1981,784
1982,722
1983,682
1984,643
1985,678
1986,674
1987,636
1988,610
1989,647
1990,601
1991,619
1992,548
1993,555
1994,522
1995,547
1996,576
1997,562
1998,547
1999,497
2000,508
2001,557
2002,559
2003,550
2004,593
2005,541
2006,542
2007,553
2008,491
2009,471
2010,601
2011,541
2012,853
