year,Earnestine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,5
1897,7
1898,6
1899,9
1900,11
1901,8
1902,13
1903,12
1904,13
1905,19
1906,9
1907,15
1908,17
1909,28
1910,44
1911,33
1912,45
1913,52
1914,55
1915,102
1916,89
1917,111
1918,133
1919,169
1920,170
1921,191
1922,237
1923,246
1924,244
1925,301
1926,334
1927,307
1928,335
1929,347
1930,337
1931,316
1932,300
1933,335
1934,367
1935,341
1936,345
1937,387
1938,360
1939,380
1940,441
1941,409
1942,419
1943,450
1944,489
1945,410
1946,417
1947,468
1948,476
1949,425
1950,400
1951,374
1952,406
1953,328
1954,313
1955,315
1956,258
1957,263
1958,219
1959,190
1960,211
1961,155
1962,120
1963,115
1964,90
1965,89
1966,73
1967,75
1968,42
1969,45
1970,40
1971,42
1972,32
1973,23
1974,26
1975,23
1976,26
1977,18
1978,19
1979,15
1980,19
1981,21
1982,15
1983,14
1984,14
1985,15
1986,9
1987,11
1988,10
1989,13
1990,0
1991,6
1992,7
1993,0
1994,6
1995,8
1996,8
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
