year,Elon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,12
1912,8
1913,13
1914,8
1915,16
1916,23
1917,18
1918,9
1919,27
1920,16
1921,22
1922,12
1923,13
1924,18
1925,18
1926,16
1927,14
1928,5
1929,11
1930,8
1931,0
1932,0
1933,10
1934,11
1935,14
1936,0
1937,0
1938,0
1939,5
1940,8
1941,8
1942,0
1943,0
1944,18
1945,7
1946,8
1947,5
1948,0
1949,5
1950,13
1951,10
1952,5
1953,7
1954,0
1955,5
1956,7
1957,5
1958,7
1959,0
1960,0
1961,17
1962,0
1963,5
1964,6
1965,6
1966,0
1967,6
1968,0
1969,7
1970,12
1971,15
1972,18
1973,12
1974,6
1975,10
1976,10
1977,24
1978,19
1979,12
1980,14
1981,13
1982,14
1983,20
1984,29
1985,16
1986,36
1987,58
1988,15
1989,13
1990,25
1991,17
1992,14
1993,24
1994,33
1995,27
1996,20
1997,17
1998,33
1999,35
2000,28
2001,48
2002,34
2003,24
2004,32
2005,34
2006,47
2007,44
2008,49
2009,37
2010,50
2011,47
2012,47
