year,Elnora
1880,42
1881,47
1882,60
1883,36
1884,64
1885,55
1886,45
1887,71
1888,82
1889,77
1890,76
1891,78
1892,98
1893,79
1894,83
1895,94
1896,106
1897,86
1898,105
1899,109
1900,182
1901,116
1902,162
1903,132
1904,155
1905,189
1906,168
1907,163
1908,170
1909,211
1910,241
1911,202
1912,315
1913,353
1914,426
1915,467
1916,550
1917,570
1918,579
1919,576
1920,607
1921,623
1922,584
1923,580
1924,639
1925,545
1926,486
1927,484
1928,453
1929,420
1930,377
1931,339
1932,401
1933,328
1934,321
1935,375
1936,306
1937,321
1938,312
1939,292
1940,275
1941,249
1942,267
1943,244
1944,205
1945,214
1946,196
1947,205
1948,214
1949,200
1950,182
1951,150
1952,155
1953,158
1954,143
1955,116
1956,112
1957,118
1958,101
1959,104
1960,100
1961,91
1962,93
1963,64
1964,57
1965,66
1966,57
1967,41
1968,45
1969,32
1970,41
1971,32
1972,35
1973,24
1974,26
1975,32
1976,18
1977,15
1978,16
1979,22
1980,23
1981,27
1982,19
1983,17
1984,16
1985,14
1986,16
1987,17
1988,21
1989,10
1990,11
1991,15
1992,14
1993,8
1994,12
1995,7
1996,9
1997,5
1998,7
1999,6
2000,6
2001,0
2002,7
2003,7
2004,12
2005,7
2006,10
2007,10
2008,9
2009,10
2010,10
2011,13
2012,18
