year,Eloise
1880,11
1881,14
1882,12
1883,18
1884,19
1885,30
1886,38
1887,31
1888,34
1889,35
1890,46
1891,46
1892,56
1893,52
1894,56
1895,57
1896,77
1897,68
1898,91
1899,92
1900,107
1901,88
1902,124
1903,134
1904,120
1905,151
1906,176
1907,196
1908,201
1909,243
1910,273
1911,324
1912,474
1913,529
1914,662
1915,798
1916,953
1917,964
1918,1063
1919,1036
1920,1248
1921,1381
1922,1228
1923,1190
1924,1219
1925,1211
1926,1215
1927,1171
1928,1086
1929,1023
1930,1023
1931,935
1932,875
1933,822
1934,728
1935,736
1936,616
1937,641
1938,608
1939,538
1940,513
1941,581
1942,745
1943,714
1944,598
1945,548
1946,607
1947,580
1948,514
1949,483
1950,522
1951,488
1952,432
1953,437
1954,354
1955,333
1956,348
1957,309
1958,231
1959,219
1960,187
1961,175
1962,184
1963,164
1964,126
1965,138
1966,103
1967,86
1968,84
1969,59
1970,68
1971,63
1972,49
1973,55
1974,29
1975,38
1976,37
1977,22
1978,27
1979,38
1980,29
1981,46
1982,40
1983,34
1984,24
1985,29
1986,22
1987,30
1988,28
1989,28
1990,28
1991,24
1992,27
1993,25
1994,44
1995,39
1996,29
1997,36
1998,53
1999,54
2000,59
2001,78
2002,88
2003,103
2004,148
2005,165
2006,179
2007,191
2008,264
2009,296
2010,552
2011,679
2012,858
