year,Elba
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,6
1890,6
1891,13
1892,14
1893,7
1894,0
1895,5
1896,8
1897,10
1898,10
1899,6
1900,6
1901,7
1902,12
1903,16
1904,5
1905,8
1906,9
1907,9
1908,7
1909,17
1910,8
1911,21
1912,20
1913,26
1914,25
1915,35
1916,36
1917,34
1918,48
1919,42
1920,49
1921,29
1922,39
1923,24
1924,26
1925,38
1926,39
1927,39
1928,29
1929,32
1930,38
1931,19
1932,23
1933,36
1934,41
1935,20
1936,15
1937,23
1938,20
1939,24
1940,21
1941,21
1942,26
1943,19
1944,23
1945,23
1946,20
1947,19
1948,24
1949,32
1950,37
1951,51
1952,37
1953,57
1954,55
1955,43
1956,84
1957,49
1958,49
1959,60
1960,61
1961,59
1962,66
1963,41
1964,58
1965,53
1966,64
1967,55
1968,44
1969,42
1970,56
1971,50
1972,45
1973,36
1974,34
1975,40
1976,40
1977,39
1978,39
1979,48
1980,38
1981,31
1982,45
1983,34
1984,20
1985,39
1986,33
1987,26
1988,32
1989,35
1990,44
1991,37
1992,32
1993,24
1994,17
1995,23
1996,28
1997,16
1998,20
1999,23
2000,21
2001,12
2002,18
2003,16
2004,18
2005,19
2006,10
2007,17
2008,17
2009,9
2010,11
2011,9
2012,7
