year,Erie
1880,12
1881,0
1882,5
1883,7
1884,17
1885,6
1886,7
1887,8
1888,19
1889,12
1890,6
1891,12
1892,17
1893,26
1894,9
1895,7
1896,17
1897,18
1898,18
1899,9
1900,15
1901,13
1902,21
1903,13
1904,29
1905,15
1906,21
1907,20
1908,11
1909,16
1910,28
1911,20
1912,36
1913,25
1914,35
1915,38
1916,56
1917,54
1918,45
1919,50
1920,44
1921,26
1922,42
1923,37
1924,39
1925,51
1926,38
1927,31
1928,36
1929,29
1930,26
1931,20
1932,29
1933,16
1934,20
1935,22
1936,27
1937,26
1938,16
1939,20
1940,19
1941,8
1942,16
1943,23
1944,16
1945,7
1946,24
1947,30
1948,30
1949,30
1950,23
1951,35
1952,32
1953,28
1954,30
1955,21
1956,21
1957,33
1958,45
1959,41
1960,45
1961,42
1962,40
1963,41
1964,42
1965,53
1966,36
1967,26
1968,41
1969,49
1970,81
1971,62
1972,66
1973,67
1974,48
1975,45
1976,43
1977,47
1978,42
1979,26
1980,28
1981,34
1982,47
1983,33
1984,35
1985,49
1986,44
1987,30
1988,25
1989,23
1990,22
1991,22
1992,17
1993,18
1994,8
1995,11
1996,0
1997,7
1998,0
1999,6
2000,6
2001,5
2002,12
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,5
2012,5
