year,Earnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,5
1904,0
1905,0
1906,0
1907,13
1908,0
1909,7
1910,10
1911,6
1912,9
1913,10
1914,15
1915,26
1916,26
1917,23
1918,22
1919,19
1920,30
1921,19
1922,40
1923,32
1924,32
1925,25
1926,38
1927,33
1928,24
1929,23
1930,24
1931,20
1932,29
1933,23
1934,17
1935,26
1936,19
1937,15
1938,25
1939,20
1940,25
1941,24
1942,13
1943,27
1944,35
1945,16
1946,36
1947,41
1948,41
1949,29
1950,38
1951,26
1952,26
1953,16
1954,16
1955,18
1956,26
1957,20
1958,21
1959,19
1960,19
1961,21
1962,16
1963,13
1964,15
1965,10
1966,18
1967,14
1968,12
1969,16
1970,11
1971,14
1972,11
1973,9
1974,7
1975,13
1976,5
1977,11
1978,5
1979,8
1980,6
1981,5
1982,0
1983,0
1984,5
1985,5
1986,0
1987,0
1988,0
1989,7
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
