year,Eben
1880,9
1881,0
1882,8
1883,7
1884,10
1885,6
1886,9
1887,6
1888,14
1889,7
1890,7
1891,0
1892,6
1893,0
1894,6
1895,7
1896,6
1897,0
1898,5
1899,0
1900,6
1901,0
1902,0
1903,0
1904,5
1905,7
1906,0
1907,0
1908,0
1909,0
1910,10
1911,0
1912,10
1913,17
1914,9
1915,27
1916,31
1917,25
1918,23
1919,21
1920,20
1921,25
1922,18
1923,21
1924,23
1925,13
1926,24
1927,18
1928,8
1929,10
1930,13
1931,8
1932,18
1933,14
1934,5
1935,14
1936,7
1937,5
1938,14
1939,9
1940,8
1941,15
1942,9
1943,16
1944,11
1945,13
1946,10
1947,19
1948,12
1949,11
1950,12
1951,10
1952,15
1953,19
1954,17
1955,12
1956,24
1957,16
1958,14
1959,10
1960,22
1961,16
1962,17
1963,14
1964,20
1965,8
1966,24
1967,24
1968,20
1969,19
1970,26
1971,37
1972,32
1973,35
1974,31
1975,41
1976,44
1977,33
1978,27
1979,35
1980,42
1981,37
1982,43
1983,49
1984,37
1985,28
1986,33
1987,27
1988,34
1989,26
1990,29
1991,30
1992,28
1993,28
1994,20
1995,21
1996,39
1997,32
1998,22
1999,33
2000,38
2001,42
2002,43
2003,65
2004,60
2005,62
2006,66
2007,77
2008,85
2009,94
2010,89
2011,93
2012,100
