year,Enrico
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,6
1908,6
1909,8
1910,7
1911,13
1912,18
1913,22
1914,43
1915,32
1916,41
1917,41
1918,37
1919,38
1920,38
1921,96
1922,60
1923,61
1924,62
1925,38
1926,41
1927,46
1928,35
1929,46
1930,26
1931,38
1932,43
1933,45
1934,28
1935,21
1936,18
1937,24
1938,31
1939,22
1940,25
1941,24
1942,22
1943,22
1944,17
1945,28
1946,30
1947,30
1948,28
1949,36
1950,23
1951,35
1952,26
1953,52
1954,50
1955,53
1956,52
1957,33
1958,24
1959,45
1960,51
1961,37
1962,43
1963,66
1964,52
1965,52
1966,56
1967,48
1968,47
1969,65
1970,91
1971,57
1972,70
1973,79
1974,64
1975,59
1976,64
1977,60
1978,58
1979,55
1980,56
1981,47
1982,50
1983,45
1984,49
1985,45
1986,51
1987,51
1988,37
1989,55
1990,61
1991,72
1992,67
1993,62
1994,51
1995,47
1996,51
1997,35
1998,44
1999,44
2000,39
2001,43
2002,48
2003,38
2004,30
2005,30
2006,31
2007,41
2008,26
2009,25
2010,29
2011,30
2012,29
