year,Eleonora
1880,0
1881,0
1882,8
1883,0
1884,6
1885,8
1886,9
1887,7
1888,0
1889,5
1890,8
1891,8
1892,15
1893,8
1894,7
1895,9
1896,9
1897,10
1898,15
1899,13
1900,13
1901,6
1902,7
1903,6
1904,10
1905,11
1906,7
1907,9
1908,9
1909,0
1910,10
1911,10
1912,11
1913,22
1914,16
1915,22
1916,35
1917,22
1918,21
1919,20
1920,21
1921,14
1922,13
1923,9
1924,18
1925,14
1926,11
1927,13
1928,9
1929,5
1930,6
1931,0
1932,6
1933,0
1934,8
1935,7
1936,0
1937,0
1938,0
1939,0
1940,5
1941,5
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,7
1959,5
1960,8
1961,7
1962,8
1963,0
1964,7
1965,0
1966,7
1967,7
1968,7
1969,0
1970,8
1971,9
1972,13
1973,10
1974,12
1975,0
1976,11
1977,10
1978,6
1979,5
1980,6
1981,8
1982,0
1983,0
1984,5
1985,0
1986,6
1987,13
1988,9
1989,0
1990,9
1991,5
1992,7
1993,9
1994,8
1995,8
1996,9
1997,0
1998,10
1999,7
2000,7
2001,10
2002,10
2003,7
2004,5
2005,14
2006,15
2007,24
2008,20
2009,13
2010,22
2011,17
2012,19
