year,Elvis
1880,0
1881,8
1882,0
1883,0
1884,0
1885,0
1886,7
1887,5
1888,0
1889,5
1890,0
1891,0
1892,7
1893,7
1894,0
1895,5
1896,0
1897,8
1898,9
1899,11
1900,8
1901,7
1902,12
1903,0
1904,8
1905,12
1906,9
1907,10
1908,8
1909,12
1910,18
1911,15
1912,43
1913,34
1914,48
1915,74
1916,61
1917,69
1918,100
1919,111
1920,80
1921,85
1922,112
1923,109
1924,74
1925,75
1926,99
1927,64
1928,95
1929,86
1930,80
1931,61
1932,56
1933,56
1934,74
1935,59
1936,59
1937,49
1938,54
1939,69
1940,77
1941,54
1942,60
1943,66
1944,56
1945,49
1946,55
1947,66
1948,46
1949,51
1950,64
1951,45
1952,54
1953,34
1954,47
1955,67
1956,426
1957,610
1958,378
1959,265
1960,242
1961,188
1962,170
1963,138
1964,130
1965,157
1966,118
1967,167
1968,139
1969,148
1970,131
1971,130
1972,119
1973,156
1974,146
1975,110
1976,148
1977,299
1978,369
1979,274
1980,230
1981,213
1982,176
1983,188
1984,154
1985,200
1986,161
1987,211
1988,183
1989,243
1990,200
1991,193
1992,190
1993,258
1994,185
1995,220
1996,188
1997,214
1998,237
1999,361
2000,333
2001,278
2002,314
2003,275
2004,280
2005,247
2006,273
2007,361
2008,325
2009,249
2010,193
2011,224
2012,184
