year,Ernestina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,6
1898,0
1899,5
1900,0
1901,0
1902,0
1903,5
1904,5
1905,0
1906,8
1907,0
1908,0
1909,7
1910,5
1911,12
1912,5
1913,9
1914,20
1915,19
1916,26
1917,28
1918,41
1919,33
1920,24
1921,53
1922,47
1923,49
1924,64
1925,84
1926,92
1927,88
1928,75
1929,94
1930,97
1931,76
1932,71
1933,92
1934,60
1935,71
1936,63
1937,77
1938,80
1939,82
1940,75
1941,64
1942,62
1943,65
1944,71
1945,72
1946,76
1947,107
1948,72
1949,80
1950,89
1951,75
1952,71
1953,84
1954,86
1955,76
1956,72
1957,75
1958,72
1959,70
1960,76
1961,66
1962,58
1963,73
1964,53
1965,65
1966,53
1967,59
1968,46
1969,65
1970,48
1971,62
1972,72
1973,60
1974,60
1975,63
1976,46
1977,57
1978,44
1979,50
1980,57
1981,46
1982,58
1983,38
1984,42
1985,38
1986,31
1987,36
1988,39
1989,40
1990,29
1991,41
1992,30
1993,36
1994,22
1995,29
1996,22
1997,27
1998,18
1999,14
2000,20
2001,15
2002,15
2003,20
2004,8
2005,15
2006,14
2007,15
2008,18
2009,7
2010,7
2011,5
2012,8
