year,Elouise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,7
1893,5
1894,0
1895,5
1896,0
1897,8
1898,0
1899,8
1900,14
1901,9
1902,21
1903,16
1904,20
1905,24
1906,29
1907,34
1908,32
1909,33
1910,34
1911,45
1912,59
1913,71
1914,95
1915,113
1916,145
1917,149
1918,175
1919,195
1920,220
1921,198
1922,224
1923,247
1924,277
1925,265
1926,259
1927,249
1928,239
1929,217
1930,242
1931,204
1932,225
1933,232
1934,219
1935,205
1936,177
1937,188
1938,173
1939,183
1940,157
1941,179
1942,207
1943,202
1944,168
1945,173
1946,150
1947,158
1948,147
1949,134
1950,136
1951,120
1952,116
1953,113
1954,101
1955,56
1956,90
1957,78
1958,76
1959,57
1960,49
1961,46
1962,42
1963,32
1964,28
1965,29
1966,13
1967,30
1968,15
1969,11
1970,17
1971,5
1972,9
1973,12
1974,11
1975,11
1976,5
1977,9
1978,7
1979,7
1980,9
1981,11
1982,6
1983,9
1984,0
1985,10
1986,7
1987,0
1988,0
1989,0
1990,0
1991,7
1992,0
1993,6
1994,0
1995,7
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,5
2005,11
2006,10
2007,8
2008,13
2009,20
2010,34
2011,25
2012,49
