year,Edmon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,7
1890,0
1891,0
1892,10
1893,0
1894,0
1895,7
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,7
1903,0
1904,6
1905,0
1906,7
1907,0
1908,0
1909,5
1910,6
1911,6
1912,11
1913,13
1914,13
1915,18
1916,30
1917,26
1918,25
1919,21
1920,32
1921,28
1922,29
1923,27
1924,35
1925,34
1926,24
1927,20
1928,15
1929,25
1930,22
1931,13
1932,27
1933,14
1934,12
1935,21
1936,20
1937,22
1938,10
1939,14
1940,17
1941,13
1942,13
1943,16
1944,11
1945,14
1946,16
1947,23
1948,15
1949,14
1950,6
1951,13
1952,13
1953,15
1954,13
1955,10
1956,8
1957,5
1958,8
1959,0
1960,7
1961,8
1962,6
1963,6
1964,6
1965,6
1966,11
1967,7
1968,0
1969,5
1970,6
1971,0
1972,10
1973,5
1974,10
1975,5
1976,6
1977,8
1978,8
1979,10
1980,8
1981,0
1982,6
1983,5
1984,10
1985,6
1986,7
1987,0
1988,0
1989,8
1990,0
1991,0
1992,12
1993,0
1994,7
1995,7
1996,9
1997,0
1998,5
1999,5
2000,0
2001,6
2002,6
2003,0
2004,0
2005,0
2006,7
2007,6
2008,0
2009,0
2010,7
2011,5
2012,0
