year,Evie
1880,17
1881,18
1882,28
1883,27
1884,23
1885,38
1886,46
1887,45
1888,46
1889,60
1890,61
1891,48
1892,69
1893,59
1894,74
1895,59
1896,68
1897,72
1898,71
1899,60
1900,97
1901,60
1902,73
1903,72
1904,61
1905,78
1906,58
1907,64
1908,76
1909,78
1910,74
1911,79
1912,84
1913,105
1914,109
1915,110
1916,96
1917,121
1918,118
1919,115
1920,118
1921,108
1922,92
1923,88
1924,87
1925,84
1926,80
1927,82
1928,72
1929,62
1930,77
1931,63
1932,41
1933,64
1934,61
1935,61
1936,46
1937,55
1938,49
1939,47
1940,54
1941,55
1942,43
1943,57
1944,49
1945,43
1946,53
1947,72
1948,45
1949,46
1950,47
1951,48
1952,37
1953,59
1954,50
1955,50
1956,51
1957,51
1958,33
1959,57
1960,51
1961,41
1962,42
1963,34
1964,44
1965,31
1966,29
1967,28
1968,32
1969,25
1970,28
1971,24
1972,24
1973,17
1974,28
1975,16
1976,22
1977,42
1978,61
1979,66
1980,51
1981,54
1982,43
1983,39
1984,31
1985,21
1986,28
1987,26
1988,20
1989,28
1990,29
1991,30
1992,17
1993,20
1994,28
1995,79
1996,27
1997,37
1998,38
1999,38
2000,66
2001,96
2002,110
2003,102
2004,109
2005,135
2006,214
2007,355
2008,331
2009,404
2010,403
2011,443
2012,475
