year,Ellery
1880,0
1881,0
1882,5
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,9
1898,5
1899,0
1900,7
1901,0
1902,0
1903,0
1904,7
1905,0
1906,0
1907,0
1908,9
1909,0
1910,0
1911,9
1912,11
1913,9
1914,18
1915,16
1916,17
1917,20
1918,22
1919,15
1920,19
1921,26
1922,27
1923,22
1924,22
1925,21
1926,23
1927,26
1928,27
1929,13
1930,16
1931,18
1932,11
1933,14
1934,18
1935,13
1936,10
1937,13
1938,22
1939,14
1940,23
1941,19
1942,24
1943,23
1944,17
1945,17
1946,22
1947,34
1948,30
1949,15
1950,25
1951,23
1952,26
1953,24
1954,25
1955,37
1956,42
1957,24
1958,30
1959,69
1960,44
1961,32
1962,18
1963,34
1964,26
1965,29
1966,23
1967,12
1968,22
1969,15
1970,25
1971,21
1972,24
1973,27
1974,12
1975,34
1976,43
1977,34
1978,32
1979,31
1980,13
1981,23
1982,25
1983,36
1984,36
1985,29
1986,24
1987,39
1988,31
1989,29
1990,44
1991,43
1992,33
1993,50
1994,44
1995,52
1996,46
1997,52
1998,54
1999,53
2000,64
2001,52
2002,70
2003,82
2004,82
2005,146
2006,168
2007,161
2008,160
2009,179
2010,200
2011,207
2012,219
