year,Evon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,6
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,7
1913,10
1914,18
1915,11
1916,12
1917,9
1918,24
1919,34
1920,36
1921,41
1922,52
1923,39
1924,41
1925,44
1926,41
1927,53
1928,33
1929,35
1930,41
1931,40
1932,58
1933,38
1934,39
1935,45
1936,64
1937,68
1938,69
1939,53
1940,61
1941,57
1942,73
1943,68
1944,54
1945,52
1946,77
1947,80
1948,75
1949,75
1950,98
1951,108
1952,100
1953,106
1954,120
1955,89
1956,85
1957,89
1958,99
1959,96
1960,77
1961,63
1962,56
1963,58
1964,59
1965,66
1966,59
1967,58
1968,49
1969,48
1970,46
1971,49
1972,42
1973,38
1974,24
1975,28
1976,23
1977,21
1978,19
1979,17
1980,18
1981,31
1982,16
1983,19
1984,22
1985,23
1986,34
1987,29
1988,27
1989,21
1990,31
1991,33
1992,18
1993,30
1994,23
1995,29
1996,22
1997,21
1998,16
1999,23
2000,20
2001,19
2002,17
2003,22
2004,20
2005,19
2006,26
2007,16
2008,24
2009,19
2010,18
2011,8
2012,18
