year,Emilia
1880,9
1881,7
1882,8
1883,16
1884,13
1885,14
1886,15
1887,10
1888,23
1889,18
1890,19
1891,19
1892,20
1893,21
1894,29
1895,24
1896,24
1897,28
1898,24
1899,30
1900,38
1901,24
1902,28
1903,41
1904,32
1905,33
1906,38
1907,50
1908,43
1909,49
1910,41
1911,42
1912,48
1913,96
1914,88
1915,119
1916,112
1917,120
1918,117
1919,112
1920,109
1921,122
1922,119
1923,129
1924,143
1925,130
1926,119
1927,123
1928,111
1929,107
1930,119
1931,85
1932,86
1933,80
1934,96
1935,64
1936,56
1937,73
1938,71
1939,68
1940,66
1941,74
1942,71
1943,62
1944,60
1945,54
1946,65
1947,92
1948,77
1949,69
1950,65
1951,81
1952,67
1953,75
1954,68
1955,69
1956,83
1957,61
1958,54
1959,62
1960,65
1961,71
1962,76
1963,65
1964,80
1965,66
1966,80
1967,71
1968,72
1969,67
1970,79
1971,70
1972,53
1973,61
1974,64
1975,73
1976,88
1977,76
1978,83
1979,78
1980,116
1981,142
1982,155
1983,127
1984,138
1985,112
1986,118
1987,126
1988,167
1989,158
1990,188
1991,196
1992,208
1993,190
1994,211
1995,213
1996,224
1997,236
1998,248
1999,292
2000,402
2001,407
2002,505
2003,556
2004,630
2005,710
2006,758
2007,780
2008,803
2009,786
2010,922
2011,972
2012,1211
