year,Elroy
1880,5
1881,0
1882,0
1883,0
1884,6
1885,0
1886,5
1887,5
1888,5
1889,5
1890,6
1891,0
1892,5
1893,7
1894,0
1895,7
1896,8
1897,8
1898,6
1899,0
1900,6
1901,0
1902,6
1903,6
1904,8
1905,14
1906,10
1907,13
1908,18
1909,11
1910,17
1911,23
1912,43
1913,51
1914,75
1915,104
1916,110
1917,143
1918,145
1919,142
1920,139
1921,152
1922,192
1923,162
1924,158
1925,164
1926,138
1927,154
1928,132
1929,150
1930,136
1931,137
1932,124
1933,125
1934,118
1935,121
1936,130
1937,128
1938,108
1939,90
1940,111
1941,104
1942,120
1943,103
1944,106
1945,91
1946,82
1947,89
1948,81
1949,80
1950,85
1951,70
1952,84
1953,90
1954,82
1955,83
1956,84
1957,95
1958,72
1959,88
1960,96
1961,89
1962,81
1963,78
1964,84
1965,57
1966,59
1967,50
1968,48
1969,61
1970,54
1971,44
1972,46
1973,37
1974,43
1975,30
1976,41
1977,29
1978,27
1979,27
1980,23
1981,29
1982,33
1983,21
1984,17
1985,26
1986,25
1987,32
1988,24
1989,22
1990,28
1991,20
1992,15
1993,13
1994,12
1995,17
1996,13
1997,16
1998,6
1999,11
2000,9
2001,8
2002,9
2003,11
2004,12
2005,13
2006,10
2007,7
2008,7
2009,12
2010,12
2011,9
2012,13
