year,Edie
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,11
1899,0
1900,5
1901,5
1902,5
1903,0
1904,0
1905,5
1906,0
1907,6
1908,0
1909,5
1910,5
1911,0
1912,15
1913,6
1914,15
1915,15
1916,0
1917,13
1918,0
1919,7
1920,0
1921,19
1922,0
1923,7
1924,0
1925,6
1926,9
1927,6
1928,0
1929,9
1930,0
1931,0
1932,8
1933,8
1934,9
1935,14
1936,11
1937,7
1938,6
1939,6
1940,5
1941,12
1942,14
1943,11
1944,17
1945,28
1946,26
1947,34
1948,26
1949,32
1950,24
1951,27
1952,20
1953,18
1954,34
1955,34
1956,48
1957,68
1958,105
1959,140
1960,143
1961,151
1962,183
1963,211
1964,162
1965,127
1966,89
1967,100
1968,90
1969,97
1970,90
1971,97
1972,83
1973,73
1974,48
1975,48
1976,59
1977,28
1978,27
1979,38
1980,18
1981,33
1982,18
1983,20
1984,25
1985,18
1986,16
1987,18
1988,21
1989,21
1990,32
1991,20
1992,19
1993,26
1994,16
1995,29
1996,23
1997,23
1998,24
1999,28
2000,39
2001,30
2002,34
2003,59
2004,53
2005,62
2006,66
2007,67
2008,78
2009,88
2010,73
2011,104
2012,87
