year,Ephriam
1880,8
1881,0
1882,10
1883,9
1884,18
1885,7
1886,6
1887,6
1888,6
1889,0
1890,5
1891,5
1892,0
1893,0
1894,11
1895,8
1896,9
1897,5
1898,7
1899,0
1900,0
1901,5
1902,7
1903,6
1904,0
1905,0
1906,0
1907,9
1908,5
1909,0
1910,0
1911,5
1912,11
1913,6
1914,10
1915,9
1916,14
1917,22
1918,15
1919,16
1920,9
1921,13
1922,21
1923,11
1924,13
1925,13
1926,16
1927,14
1928,5
1929,15
1930,9
1931,7
1932,5
1933,11
1934,13
1935,5
1936,7
1937,10
1938,7
1939,11
1940,9
1941,11
1942,6
1943,6
1944,0
1945,8
1946,5
1947,8
1948,0
1949,5
1950,5
1951,9
1952,0
1953,12
1954,0
1955,7
1956,0
1957,0
1958,8
1959,5
1960,9
1961,5
1962,9
1963,11
1964,0
1965,8
1966,0
1967,8
1968,6
1969,10
1970,6
1971,6
1972,8
1973,6
1974,13
1975,10
1976,0
1977,7
1978,11
1979,6
1980,5
1981,6
1982,7
1983,6
1984,0
1985,11
1986,0
1987,6
1988,5
1989,5
1990,6
1991,8
1992,5
1993,6
1994,0
1995,8
1996,0
1997,7
1998,6
1999,11
2000,8
2001,5
2002,7
2003,9
2004,10
2005,9
2006,11
2007,0
2008,0
2009,6
2010,0
2011,10
2012,0
