year,Eda
1880,22
1881,23
1882,31
1883,19
1884,35
1885,42
1886,37
1887,25
1888,40
1889,31
1890,39
1891,41
1892,46
1893,32
1894,36
1895,43
1896,47
1897,33
1898,34
1899,29
1900,36
1901,24
1902,32
1903,27
1904,30
1905,29
1906,28
1907,35
1908,35
1909,20
1910,31
1911,33
1912,49
1913,67
1914,56
1915,71
1916,100
1917,88
1918,98
1919,92
1920,72
1921,80
1922,90
1923,80
1924,73
1925,68
1926,74
1927,54
1928,57
1929,58
1930,55
1931,41
1932,47
1933,38
1934,34
1935,29
1936,32
1937,29
1938,28
1939,27
1940,25
1941,24
1942,26
1943,43
1944,21
1945,26
1946,29
1947,37
1948,31
1949,31
1950,28
1951,29
1952,35
1953,34
1954,19
1955,26
1956,29
1957,28
1958,23
1959,25
1960,16
1961,19
1962,16
1963,22
1964,19
1965,17
1966,13
1967,14
1968,9
1969,7
1970,15
1971,10
1972,11
1973,9
1974,23
1975,8
1976,5
1977,9
1978,7
1979,0
1980,9
1981,13
1982,8
1983,11
1984,8
1985,11
1986,0
1987,10
1988,8
1989,14
1990,12
1991,17
1992,13
1993,11
1994,9
1995,8
1996,7
1997,12
1998,8
1999,9
2000,17
2001,14
2002,7
2003,8
2004,11
2005,17
2006,13
2007,13
2008,23
2009,21
2010,18
2011,22
2012,14
