year,Evangeline
1880,0
1881,6
1882,9
1883,7
1884,12
1885,9
1886,10
1887,13
1888,14
1889,28
1890,16
1891,13
1892,22
1893,24
1894,29
1895,24
1896,30
1897,53
1898,46
1899,43
1900,68
1901,55
1902,58
1903,41
1904,48
1905,45
1906,48
1907,62
1908,56
1909,72
1910,76
1911,70
1912,107
1913,139
1914,135
1915,188
1916,176
1917,208
1918,222
1919,231
1920,267
1921,258
1922,262
1923,239
1924,258
1925,198
1926,221
1927,272
1928,228
1929,241
1930,279
1931,232
1932,217
1933,207
1934,186
1935,199
1936,161
1937,183
1938,164
1939,144
1940,172
1941,148
1942,151
1943,134
1944,132
1945,109
1946,154
1947,137
1948,126
1949,141
1950,135
1951,138
1952,163
1953,123
1954,150
1955,147
1956,142
1957,145
1958,141
1959,125
1960,121
1961,143
1962,134
1963,143
1964,132
1965,113
1966,116
1967,96
1968,104
1969,80
1970,115
1971,99
1972,104
1973,78
1974,74
1975,77
1976,75
1977,70
1978,60
1979,69
1980,58
1981,63
1982,67
1983,61
1984,51
1985,52
1986,49
1987,48
1988,60
1989,52
1990,54
1991,67
1992,54
1993,59
1994,65
1995,86
1996,84
1997,78
1998,85
1999,83
2000,94
2001,108
2002,90
2003,103
2004,106
2005,189
2006,484
2007,700
2008,698
2009,741
2010,964
2011,1107
2012,1090
