year,Ema
1880,0
1881,0
1882,0
1883,8
1884,6
1885,5
1886,0
1887,10
1888,0
1889,8
1890,7
1891,0
1892,0
1893,0
1894,0
1895,9
1896,6
1897,8
1898,7
1899,6
1900,5
1901,0
1902,9
1903,5
1904,9
1905,0
1906,0
1907,0
1908,0
1909,6
1910,10
1911,6
1912,7
1913,7
1914,14
1915,22
1916,17
1917,14
1918,12
1919,18
1920,21
1921,11
1922,31
1923,30
1924,16
1925,18
1926,21
1927,28
1928,28
1929,26
1930,22
1931,24
1932,18
1933,18
1934,20
1935,15
1936,9
1937,13
1938,10
1939,11
1940,10
1941,8
1942,11
1943,7
1944,8
1945,8
1946,16
1947,9
1948,7
1949,9
1950,12
1951,7
1952,5
1953,13
1954,7
1955,6
1956,6
1957,5
1958,7
1959,6
1960,6
1961,9
1962,0
1963,6
1964,10
1965,5
1966,0
1967,5
1968,6
1969,8
1970,8
1971,0
1972,11
1973,11
1974,16
1975,19
1976,15
1977,7
1978,10
1979,17
1980,11
1981,15
1982,15
1983,15
1984,13
1985,18
1986,13
1987,9
1988,23
1989,16
1990,17
1991,18
1992,20
1993,24
1994,38
1995,36
1996,28
1997,29
1998,47
1999,44
2000,50
2001,58
2002,81
2003,125
2004,134
2005,133
2006,152
2007,136
2008,153
2009,148
2010,134
2011,161
2012,136
