year,Erika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,5
1913,0
1914,5
1915,8
1916,10
1917,5
1918,6
1919,0
1920,0
1921,0
1922,8
1923,12
1924,14
1925,9
1926,15
1927,17
1928,18
1929,30
1930,16
1931,17
1932,15
1933,15
1934,21
1935,14
1936,15
1937,14
1938,26
1939,18
1940,42
1941,33
1942,25
1943,33
1944,29
1945,22
1946,31
1947,47
1948,54
1949,64
1950,34
1951,46
1952,79
1953,62
1954,71
1955,69
1956,102
1957,126
1958,131
1959,171
1960,176
1961,198
1962,256
1963,303
1964,356
1965,419
1966,491
1967,813
1968,957
1969,1361
1970,1948
1971,2207
1972,2189
1973,2162
1974,2279
1975,2274
1976,2348
1977,2833
1978,2842
1979,3338
1980,3540
1981,3421
1982,3616
1983,3573
1984,3568
1985,3517
1986,3710
1987,4022
1988,3907
1989,4231
1990,4589
1991,4333
1992,4351
1993,4030
1994,3595
1995,3297
1996,3086
1997,2905
1998,2681
1999,2323
2000,2744
2001,2229
2002,1958
2003,1816
2004,1778
2005,1616
2006,1431
2007,1278
2008,1016
2009,859
2010,724
2011,543
2012,555
