year,Ester
1880,0
1881,6
1882,10
1883,9
1884,13
1885,11
1886,16
1887,11
1888,26
1889,18
1890,31
1891,26
1892,35
1893,36
1894,37
1895,41
1896,43
1897,57
1898,61
1899,50
1900,79
1901,50
1902,43
1903,50
1904,52
1905,85
1906,65
1907,83
1908,65
1909,78
1910,111
1911,110
1912,136
1913,133
1914,165
1915,209
1916,219
1917,200
1918,226
1919,268
1920,252
1921,268
1922,277
1923,248
1924,236
1925,307
1926,286
1927,244
1928,251
1929,225
1930,213
1931,190
1932,179
1933,163
1934,171
1935,165
1936,168
1937,186
1938,146
1939,138
1940,165
1941,153
1942,160
1943,174
1944,172
1945,137
1946,185
1947,181
1948,198
1949,178
1950,190
1951,158
1952,187
1953,181
1954,158
1955,163
1956,169
1957,158
1958,155
1959,154
1960,161
1961,151
1962,146
1963,140
1964,137
1965,119
1966,89
1967,95
1968,78
1969,89
1970,89
1971,113
1972,86
1973,70
1974,85
1975,62
1976,60
1977,64
1978,53
1979,74
1980,77
1981,80
1982,93
1983,72
1984,56
1985,70
1986,78
1987,59
1988,70
1989,81
1990,66
1991,80
1992,68
1993,68
1994,79
1995,74
1996,71
1997,76
1998,78
1999,91
2000,102
2001,79
2002,98
2003,96
2004,86
2005,118
2006,94
2007,103
2008,137
2009,92
2010,119
2011,122
2012,115
