year,Emmit
1880,0
1881,0
1882,5
1883,5
1884,7
1885,0
1886,15
1887,0
1888,8
1889,7
1890,0
1891,6
1892,7
1893,13
1894,8
1895,9
1896,8
1897,5
1898,0
1899,13
1900,12
1901,9
1902,7
1903,7
1904,8
1905,11
1906,13
1907,14
1908,8
1909,16
1910,9
1911,16
1912,24
1913,25
1914,24
1915,54
1916,49
1917,53
1918,59
1919,73
1920,52
1921,66
1922,71
1923,65
1924,46
1925,77
1926,48
1927,53
1928,56
1929,55
1930,48
1931,62
1932,47
1933,42
1934,34
1935,31
1936,51
1937,31
1938,42
1939,44
1940,35
1941,23
1942,24
1943,25
1944,15
1945,27
1946,30
1947,40
1948,27
1949,30
1950,19
1951,24
1952,23
1953,16
1954,16
1955,17
1956,27
1957,26
1958,27
1959,19
1960,19
1961,14
1962,14
1963,6
1964,15
1965,10
1966,13
1967,10
1968,16
1969,20
1970,16
1971,9
1972,9
1973,10
1974,12
1975,0
1976,9
1977,9
1978,7
1979,14
1980,7
1981,11
1982,10
1983,11
1984,5
1985,0
1986,7
1987,6
1988,10
1989,6
1990,12
1991,0
1992,10
1993,6
1994,20
1995,16
1996,14
1997,17
1998,14
1999,21
2000,11
2001,19
2002,26
2003,23
2004,33
2005,31
2006,36
2007,31
2008,43
2009,40
2010,73
2011,97
2012,137
