year,Elam
1880,6
1881,0
1882,5
1883,6
1884,0
1885,0
1886,5
1887,6
1888,0
1889,0
1890,0
1891,6
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,9
1899,0
1900,0
1901,5
1902,0
1903,5
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,9
1913,5
1914,13
1915,17
1916,12
1917,18
1918,15
1919,15
1920,22
1921,13
1922,9
1923,15
1924,15
1925,9
1926,21
1927,10
1928,20
1929,20
1930,9
1931,14
1932,8
1933,0
1934,7
1935,9
1936,12
1937,14
1938,0
1939,11
1940,12
1941,14
1942,7
1943,14
1944,6
1945,8
1946,17
1947,12
1948,7
1949,12
1950,14
1951,9
1952,14
1953,9
1954,8
1955,10
1956,9
1957,11
1958,5
1959,12
1960,8
1961,13
1962,12
1963,9
1964,10
1965,9
1966,0
1967,6
1968,6
1969,13
1970,10
1971,12
1972,8
1973,15
1974,13
1975,12
1976,15
1977,10
1978,19
1979,14
1980,19
1981,14
1982,16
1983,17
1984,24
1985,10
1986,15
1987,9
1988,14
1989,19
1990,22
1991,20
1992,28
1993,21
1994,16
1995,16
1996,19
1997,14
1998,16
1999,25
2000,31
2001,22
2002,22
2003,35
2004,24
2005,34
2006,33
2007,41
2008,39
2009,51
2010,67
2011,57
2012,64
