year,Eula
1880,70
1881,84
1882,95
1883,93
1884,111
1885,158
1886,181
1887,188
1888,223
1889,193
1890,255
1891,246
1892,297
1893,332
1894,327
1895,342
1896,365
1897,359
1898,405
1899,354
1900,437
1901,408
1902,466
1903,449
1904,488
1905,509
1906,507
1907,523
1908,563
1909,548
1910,620
1911,561
1912,754
1913,773
1914,933
1915,1173
1916,1221
1917,1185
1918,1321
1919,1399
1920,1315
1921,1318
1922,1292
1923,1322
1924,1279
1925,1209
1926,1193
1927,1197
1928,1101
1929,1038
1930,1059
1931,872
1932,871
1933,778
1934,778
1935,717
1936,637
1937,665
1938,617
1939,605
1940,541
1941,504
1942,521
1943,482
1944,471
1945,376
1946,380
1947,406
1948,350
1949,364
1950,286
1951,282
1952,257
1953,227
1954,249
1955,214
1956,174
1957,209
1958,166
1959,134
1960,133
1961,113
1962,110
1963,106
1964,73
1965,78
1966,72
1967,70
1968,42
1969,49
1970,52
1971,37
1972,28
1973,44
1974,22
1975,21
1976,26
1977,25
1978,25
1979,22
1980,30
1981,14
1982,19
1983,12
1984,14
1985,11
1986,8
1987,12
1988,10
1989,9
1990,11
1991,5
1992,11
1993,5
1994,5
1995,0
1996,7
1997,0
1998,10
1999,6
2000,0
2001,7
2002,0
2003,6
2004,0
2005,0
2006,7
2007,0
2008,7
2009,5
2010,6
2011,6
2012,6
