year,Echo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,5
1893,8
1894,7
1895,5
1896,0
1897,5
1898,0
1899,0
1900,0
1901,5
1902,0
1903,5
1904,0
1905,0
1906,6
1907,8
1908,0
1909,0
1910,9
1911,9
1912,9
1913,10
1914,9
1915,10
1916,21
1917,14
1918,17
1919,20
1920,18
1921,12
1922,22
1923,17
1924,15
1925,6
1926,5
1927,9
1928,13
1929,8
1930,0
1931,5
1932,7
1933,0
1934,5
1935,0
1936,5
1937,0
1938,5
1939,8
1940,8
1941,7
1942,0
1943,10
1944,0
1945,5
1946,13
1947,8
1948,15
1949,12
1950,0
1951,17
1952,16
1953,14
1954,12
1955,14
1956,17
1957,11
1958,15
1959,13
1960,17
1961,11
1962,11
1963,16
1964,15
1965,9
1966,17
1967,10
1968,17
1969,25
1970,30
1971,44
1972,36
1973,29
1974,36
1975,52
1976,40
1977,29
1978,26
1979,75
1980,64
1981,61
1982,60
1983,181
1984,182
1985,115
1986,101
1987,66
1988,89
1989,74
1990,68
1991,68
1992,60
1993,54
1994,58
1995,53
1996,50
1997,58
1998,74
1999,62
2000,68
2001,53
2002,51
2003,56
2004,60
2005,47
2006,45
2007,67
2008,60
2009,62
2010,71
2011,82
2012,81
