year,Ellison
1880,0
1881,5
1882,0
1883,7
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,8
1906,5
1907,11
1908,0
1909,10
1910,8
1911,6
1912,10
1913,14
1914,28
1915,22
1916,25
1917,13
1918,24
1919,22
1920,32
1921,31
1922,20
1923,21
1924,23
1925,22
1926,17
1927,19
1928,12
1929,19
1930,9
1931,10
1932,16
1933,14
1934,21
1935,17
1936,17
1937,26
1938,12
1939,18
1940,21
1941,17
1942,21
1943,22
1944,12
1945,16
1946,17
1947,26
1948,17
1949,18
1950,18
1951,17
1952,12
1953,22
1954,18
1955,6
1956,15
1957,15
1958,11
1959,20
1960,11
1961,18
1962,20
1963,8
1964,17
1965,21
1966,11
1967,10
1968,18
1969,10
1970,20
1971,21
1972,6
1973,9
1974,8
1975,22
1976,15
1977,20
1978,22
1979,12
1980,20
1981,10
1982,15
1983,14
1984,19
1985,14
1986,40
1987,27
1988,29
1989,30
1990,33
1991,26
1992,30
1993,26
1994,37
1995,31
1996,38
1997,41
1998,62
1999,51
2000,69
2001,78
2002,92
2003,102
2004,118
2005,138
2006,190
2007,172
2008,201
2009,177
2010,226
2011,266
2012,278
