year,Ernestine
1880,17
1881,21
1882,34
1883,27
1884,29
1885,26
1886,27
1887,53
1888,46
1889,42
1890,68
1891,46
1892,59
1893,64
1894,72
1895,70
1896,56
1897,78
1898,92
1899,74
1900,93
1901,74
1902,113
1903,106
1904,121
1905,123
1906,120
1907,143
1908,176
1909,169
1910,184
1911,238
1912,354
1913,425
1914,473
1915,564
1916,676
1917,743
1918,822
1919,738
1920,864
1921,871
1922,954
1923,905
1924,976
1925,1027
1926,1043
1927,1031
1928,1067
1929,922
1930,968
1931,952
1932,881
1933,850
1934,860
1935,904
1936,804
1937,779
1938,796
1939,793
1940,774
1941,764
1942,807
1943,861
1944,839
1945,771
1946,788
1947,837
1948,776
1949,763
1950,717
1951,701
1952,707
1953,630
1954,569
1955,503
1956,533
1957,462
1958,436
1959,412
1960,401
1961,383
1962,401
1963,347
1964,305
1965,256
1966,232
1967,232
1968,185
1969,170
1970,178
1971,141
1972,133
1973,106
1974,87
1975,79
1976,64
1977,72
1978,66
1979,73
1980,67
1981,81
1982,55
1983,56
1984,68
1985,51
1986,45
1987,60
1988,37
1989,32
1990,38
1991,36
1992,25
1993,30
1994,30
1995,16
1996,15
1997,18
1998,18
1999,11
2000,7
2001,7
2002,12
2003,10
2004,0
2005,7
2006,5
2007,0
2008,6
2009,0
2010,0
2011,8
2012,12
