year,Estelle
1880,119
1881,127
1882,133
1883,151
1884,182
1885,183
1886,216
1887,170
1888,274
1889,286
1890,277
1891,254
1892,295
1893,335
1894,331
1895,381
1896,392
1897,439
1898,410
1899,376
1900,555
1901,381
1902,472
1903,402
1904,464
1905,509
1906,520
1907,609
1908,680
1909,669
1910,749
1911,864
1912,1060
1913,1129
1914,1437
1915,1793
1916,1781
1917,1711
1918,1715
1919,1628
1920,1466
1921,1445
1922,1337
1923,1195
1924,1271
1925,1254
1926,1121
1927,1238
1928,1100
1929,915
1930,878
1931,765
1932,754
1933,521
1934,581
1935,533
1936,477
1937,398
1938,454
1939,361
1940,385
1941,355
1942,363
1943,376
1944,307
1945,277
1946,295
1947,324
1948,303
1949,246
1950,241
1951,244
1952,220
1953,229
1954,197
1955,184
1956,158
1957,160
1958,142
1959,151
1960,153
1961,155
1962,105
1963,122
1964,113
1965,106
1966,95
1967,75
1968,72
1969,81
1970,66
1971,74
1972,69
1973,76
1974,56
1975,55
1976,41
1977,52
1978,45
1979,56
1980,53
1981,59
1982,47
1983,41
1984,40
1985,28
1986,44
1987,47
1988,46
1989,50
1990,35
1991,43
1992,29
1993,44
1994,36
1995,41
1996,27
1997,31
1998,48
1999,58
2000,63
2001,73
2002,69
2003,70
2004,103
2005,118
2006,96
2007,106
2008,109
2009,159
2010,157
2011,199
2012,265
