year,Emmitt
1880,7
1881,10
1882,11
1883,7
1884,10
1885,11
1886,16
1887,11
1888,14
1889,14
1890,13
1891,9
1892,16
1893,13
1894,16
1895,16
1896,14
1897,15
1898,15
1899,12
1900,23
1901,16
1902,13
1903,22
1904,21
1905,26
1906,22
1907,18
1908,22
1909,31
1910,30
1911,30
1912,45
1913,56
1914,54
1915,90
1916,76
1917,80
1918,79
1919,115
1920,103
1921,98
1922,123
1923,102
1924,104
1925,96
1926,90
1927,99
1928,108
1929,77
1930,76
1931,80
1932,76
1933,87
1934,71
1935,92
1936,64
1937,78
1938,78
1939,85
1940,75
1941,85
1942,93
1943,95
1944,86
1945,79
1946,78
1947,78
1948,87
1949,92
1950,101
1951,112
1952,90
1953,99
1954,83
1955,69
1956,80
1957,78
1958,71
1959,77
1960,60
1961,69
1962,62
1963,64
1964,51
1965,62
1966,51
1967,50
1968,46
1969,46
1970,49
1971,41
1972,49
1973,37
1974,36
1975,36
1976,33
1977,34
1978,36
1979,40
1980,32
1981,27
1982,21
1983,15
1984,28
1985,31
1986,37
1987,19
1988,26
1989,22
1990,21
1991,27
1992,30
1993,58
1994,71
1995,68
1996,81
1997,63
1998,57
1999,45
2000,43
2001,51
2002,45
2003,58
2004,51
2005,84
2006,90
2007,107
2008,111
2009,146
2010,241
2011,284
2012,359
