year,Essie
1880,78
1881,85
1882,120
1883,139
1884,148
1885,160
1886,163
1887,185
1888,235
1889,276
1890,261
1891,227
1892,294
1893,258
1894,329
1895,344
1896,388
1897,343
1898,345
1899,354
1900,500
1901,368
1902,433
1903,403
1904,466
1905,485
1906,416
1907,498
1908,465
1909,515
1910,631
1911,539
1912,718
1913,683
1914,763
1915,896
1916,930
1917,967
1918,1048
1919,1063
1920,1033
1921,1054
1922,1054
1923,933
1924,959
1925,943
1926,910
1927,813
1928,833
1929,694
1930,649
1931,603
1932,688
1933,590
1934,556
1935,521
1936,510
1937,485
1938,469
1939,476
1940,436
1941,414
1942,430
1943,363
1944,431
1945,402
1946,359
1947,337
1948,341
1949,343
1950,325
1951,282
1952,303
1953,269
1954,249
1955,237
1956,221
1957,167
1958,163
1959,171
1960,139
1961,114
1962,109
1963,124
1964,102
1965,84
1966,69
1967,60
1968,60
1969,51
1970,55
1971,51
1972,39
1973,41
1974,31
1975,24
1976,32
1977,31
1978,31
1979,27
1980,23
1981,29
1982,36
1983,27
1984,17
1985,33
1986,18
1987,19
1988,17
1989,27
1990,25
1991,20
1992,20
1993,15
1994,13
1995,11
1996,10
1997,13
1998,10
1999,14
2000,11
2001,8
2002,0
2003,10
2004,11
2005,8
2006,9
2007,6
2008,9
2009,11
2010,12
2011,12
2012,27
