year,Elvira
1880,30
1881,38
1882,31
1883,26
1884,39
1885,53
1886,59
1887,51
1888,59
1889,60
1890,64
1891,53
1892,81
1893,74
1894,84
1895,94
1896,114
1897,103
1898,113
1899,104
1900,135
1901,105
1902,137
1903,110
1904,116
1905,138
1906,123
1907,154
1908,179
1909,196
1910,213
1911,230
1912,305
1913,327
1914,405
1915,465
1916,567
1917,589
1918,575
1919,553
1920,592
1921,574
1922,574
1923,553
1924,584
1925,527
1926,532
1927,523
1928,482
1929,514
1930,486
1931,386
1932,414
1933,306
1934,316
1935,294
1936,282
1937,237
1938,274
1939,238
1940,244
1941,231
1942,229
1943,244
1944,222
1945,221
1946,247
1947,252
1948,253
1949,237
1950,230
1951,203
1952,241
1953,237
1954,251
1955,233
1956,217
1957,194
1958,213
1959,192
1960,189
1961,202
1962,185
1963,188
1964,163
1965,171
1966,164
1967,148
1968,150
1969,163
1970,151
1971,149
1972,119
1973,135
1974,160
1975,139
1976,145
1977,118
1978,141
1979,134
1980,126
1981,162
1982,139
1983,120
1984,115
1985,112
1986,102
1987,90
1988,105
1989,100
1990,159
1991,123
1992,106
1993,98
1994,90
1995,85
1996,87
1997,93
1998,100
1999,79
2000,96
2001,78
2002,89
2003,66
2004,65
2005,79
2006,67
2007,72
2008,50
2009,61
2010,41
2011,32
2012,52
