year,Emerald
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,5
1906,0
1907,0
1908,6
1909,7
1910,0
1911,11
1912,13
1913,8
1914,5
1915,20
1916,25
1917,22
1918,17
1919,29
1920,24
1921,22
1922,19
1923,17
1924,19
1925,15
1926,22
1927,26
1928,22
1929,10
1930,5
1931,5
1932,11
1933,5
1934,0
1935,7
1936,5
1937,0
1938,8
1939,8
1940,0
1941,0
1942,5
1943,0
1944,6
1945,5
1946,0
1947,14
1948,0
1949,5
1950,0
1951,8
1952,5
1953,0
1954,0
1955,6
1956,12
1957,0
1958,11
1959,0
1960,0
1961,10
1962,6
1963,9
1964,0
1965,6
1966,0
1967,0
1968,7
1969,9
1970,9
1971,5
1972,6
1973,10
1974,15
1975,12
1976,10
1977,23
1978,26
1979,41
1980,39
1981,68
1982,77
1983,66
1984,86
1985,87
1986,107
1987,112
1988,144
1989,168
1990,162
1991,196
1992,213
1993,200
1994,268
1995,229
1996,236
1997,213
1998,262
1999,233
2000,219
2001,232
2002,228
2003,186
2004,179
2005,183
2006,182
2007,155
2008,148
2009,161
2010,123
2011,124
2012,151
