year,Eve
1880,7
1881,10
1882,6
1883,6
1884,11
1885,10
1886,7
1887,10
1888,13
1889,14
1890,11
1891,13
1892,18
1893,23
1894,20
1895,26
1896,27
1897,19
1898,29
1899,32
1900,35
1901,26
1902,33
1903,33
1904,41
1905,44
1906,48
1907,73
1908,67
1909,67
1910,76
1911,71
1912,104
1913,123
1914,130
1915,143
1916,144
1917,138
1918,127
1919,104
1920,101
1921,106
1922,81
1923,76
1924,113
1925,81
1926,77
1927,81
1928,80
1929,77
1930,78
1931,55
1932,63
1933,65
1934,77
1935,53
1936,58
1937,49
1938,60
1939,66
1940,72
1941,102
1942,83
1943,108
1944,112
1945,122
1946,135
1947,118
1948,111
1949,97
1950,108
1951,183
1952,190
1953,208
1954,233
1955,259
1956,305
1957,288
1958,272
1959,288
1960,302
1961,305
1962,312
1963,289
1964,269
1965,255
1966,232
1967,210
1968,214
1969,220
1970,241
1971,240
1972,205
1973,172
1974,233
1975,232
1976,211
1977,218
1978,209
1979,211
1980,214
1981,219
1982,190
1983,169
1984,146
1985,149
1986,141
1987,112
1988,125
1989,152
1990,118
1991,136
1992,134
1993,138
1994,141
1995,137
1996,160
1997,161
1998,223
1999,322
2000,482
2001,500
2002,478
2003,498
2004,450
2005,417
2006,491
2007,483
2008,468
2009,520
2010,494
2011,531
2012,528
