year,Enid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,12
1889,8
1890,10
1891,12
1892,24
1893,23
1894,22
1895,28
1896,34
1897,21
1898,17
1899,20
1900,28
1901,28
1902,30
1903,20
1904,30
1905,20
1906,30
1907,39
1908,51
1909,36
1910,34
1911,87
1912,115
1913,110
1914,129
1915,137
1916,174
1917,191
1918,219
1919,252
1920,261
1921,258
1922,205
1923,224
1924,195
1925,214
1926,187
1927,164
1928,157
1929,174
1930,155
1931,152
1932,123
1933,142
1934,121
1935,106
1936,99
1937,83
1938,92
1939,72
1940,85
1941,96
1942,114
1943,116
1944,96
1945,121
1946,141
1947,114
1948,104
1949,96
1950,92
1951,101
1952,66
1953,86
1954,97
1955,68
1956,62
1957,59
1958,75
1959,94
1960,87
1961,83
1962,104
1963,70
1964,64
1965,66
1966,52
1967,55
1968,62
1969,41
1970,76
1971,78
1972,45
1973,44
1974,52
1975,50
1976,45
1977,35
1978,39
1979,29
1980,37
1981,38
1982,37
1983,23
1984,24
1985,25
1986,25
1987,19
1988,21
1989,21
1990,23
1991,28
1992,12
1993,19
1994,16
1995,13
1996,19
1997,12
1998,7
1999,14
2000,12
2001,13
2002,25
2003,15
2004,19
2005,21
2006,12
2007,9
2008,17
2009,15
2010,8
2011,15
2012,12
