year,Evelyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,8
1897,6
1898,0
1899,0
1900,8
1901,0
1902,8
1903,9
1904,8
1905,6
1906,19
1907,15
1908,21
1909,18
1910,15
1911,28
1912,36
1913,52
1914,65
1915,93
1916,127
1917,123
1918,146
1919,148
1920,121
1921,126
1922,153
1923,144
1924,136
1925,134
1926,104
1927,93
1928,97
1929,72
1930,61
1931,35
1932,44
1933,32
1934,37
1935,32
1936,37
1937,25
1938,17
1939,24
1940,30
1941,32
1942,30
1943,32
1944,22
1945,16
1946,22
1947,34
1948,26
1949,21
1950,15
1951,19
1952,21
1953,13
1954,24
1955,22
1956,13
1957,21
1958,8
1959,12
1960,13
1961,13
1962,11
1963,6
1964,16
1965,11
1966,9
1967,11
1968,7
1969,11
1970,8
1971,10
1972,9
1973,0
1974,6
1975,5
1976,0
1977,5
1978,5
1979,8
1980,5
1981,5
1982,11
1983,9
1984,6
1985,7
1986,8
1987,7
1988,10
1989,13
1990,16
1991,12
1992,8
1993,8
1994,16
1995,9
1996,13
1997,13
1998,15
1999,16
2000,22
2001,26
2002,19
2003,33
2004,33
2005,42
2006,37
2007,43
2008,50
2009,36
2010,38
2011,39
2012,27
