year,Elwyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,7
1896,5
1897,0
1898,7
1899,7
1900,0
1901,0
1902,6
1903,8
1904,8
1905,5
1906,7
1907,0
1908,11
1909,11
1910,10
1911,11
1912,52
1913,47
1914,54
1915,78
1916,61
1917,79
1918,88
1919,75
1920,100
1921,90
1922,89
1923,101
1924,104
1925,99
1926,82
1927,95
1928,78
1929,79
1930,77
1931,74
1932,71
1933,76
1934,69
1935,57
1936,53
1937,44
1938,52
1939,49
1940,41
1941,44
1942,63
1943,59
1944,27
1945,39
1946,38
1947,34
1948,50
1949,33
1950,22
1951,39
1952,40
1953,25
1954,32
1955,31
1956,20
1957,23
1958,24
1959,19
1960,15
1961,15
1962,12
1963,14
1964,10
1965,22
1966,9
1967,10
1968,6
1969,0
1970,7
1971,10
1972,11
1973,6
1974,12
1975,0
1976,8
1977,5
1978,6
1979,6
1980,5
1981,8
1982,0
1983,0
1984,5
1985,0
1986,0
1987,6
1988,0
1989,6
1990,5
1991,5
1992,0
1993,7
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,6
2002,0
2003,0
2004,7
2005,8
2006,0
2007,0
2008,0
2009,10
2010,7
2011,6
2012,0
