year,Erna
1880,10
1881,5
1882,12
1883,14
1884,23
1885,15
1886,18
1887,28
1888,34
1889,42
1890,71
1891,57
1892,64
1893,78
1894,83
1895,103
1896,85
1897,97
1898,135
1899,106
1900,115
1901,87
1902,94
1903,99
1904,102
1905,117
1906,119
1907,94
1908,107
1909,116
1910,120
1911,130
1912,172
1913,220
1914,232
1915,310
1916,358
1917,331
1918,321
1919,270
1920,258
1921,263
1922,210
1923,217
1924,202
1925,191
1926,182
1927,194
1928,160
1929,163
1930,133
1931,127
1932,123
1933,101
1934,114
1935,96
1936,97
1937,102
1938,68
1939,86
1940,82
1941,54
1942,79
1943,48
1944,48
1945,56
1946,56
1947,48
1948,54
1949,65
1950,41
1951,42
1952,54
1953,39
1954,39
1955,44
1956,36
1957,33
1958,31
1959,20
1960,27
1961,26
1962,14
1963,17
1964,19
1965,13
1966,10
1967,18
1968,17
1969,20
1970,10
1971,12
1972,14
1973,6
1974,7
1975,6
1976,9
1977,6
1978,0
1979,0
1980,5
1981,7
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,5
2000,10
2001,14
2002,11
2003,11
2004,10
2005,11
2006,7
2007,7
2008,8
2009,6
2010,9
2011,0
2012,8
