year,Edson
1880,6
1881,7
1882,5
1883,8
1884,5
1885,0
1886,0
1887,9
1888,7
1889,0
1890,0
1891,6
1892,10
1893,0
1894,5
1895,6
1896,8
1897,0
1898,5
1899,0
1900,6
1901,0
1902,0
1903,0
1904,8
1905,0
1906,7
1907,8
1908,8
1909,5
1910,0
1911,11
1912,16
1913,23
1914,31
1915,36
1916,30
1917,48
1918,28
1919,32
1920,30
1921,35
1922,35
1923,35
1924,30
1925,26
1926,25
1927,28
1928,25
1929,27
1930,29
1931,20
1932,22
1933,16
1934,21
1935,21
1936,22
1937,25
1938,21
1939,20
1940,11
1941,23
1942,14
1943,24
1944,27
1945,22
1946,21
1947,22
1948,17
1949,24
1950,16
1951,27
1952,7
1953,14
1954,14
1955,16
1956,18
1957,12
1958,15
1959,11
1960,13
1961,16
1962,20
1963,17
1964,12
1965,6
1966,9
1967,16
1968,0
1969,10
1970,18
1971,13
1972,9
1973,13
1974,13
1975,10
1976,18
1977,20
1978,16
1979,23
1980,18
1981,21
1982,40
1983,23
1984,23
1985,24
1986,37
1987,27
1988,32
1989,45
1990,52
1991,41
1992,49
1993,61
1994,49
1995,62
1996,69
1997,91
1998,89
1999,66
2000,93
2001,94
2002,110
2003,81
2004,81
2005,92
2006,111
2007,89
2008,91
2009,69
2010,94
2011,66
2012,60
