year,Elie
1880,5
1881,7
1882,8
1883,13
1884,7
1885,7
1886,14
1887,7
1888,9
1889,6
1890,8
1891,5
1892,5
1893,12
1894,10
1895,10
1896,11
1897,7
1898,5
1899,0
1900,19
1901,10
1902,6
1903,10
1904,0
1905,11
1906,8
1907,7
1908,12
1909,9
1910,9
1911,14
1912,19
1913,17
1914,22
1915,25
1916,33
1917,25
1918,28
1919,34
1920,25
1921,28
1922,24
1923,30
1924,34
1925,31
1926,20
1927,35
1928,31
1929,26
1930,23
1931,17
1932,20
1933,19
1934,18
1935,18
1936,19
1937,12
1938,17
1939,19
1940,14
1941,16
1942,17
1943,11
1944,10
1945,11
1946,9
1947,17
1948,9
1949,14
1950,12
1951,12
1952,17
1953,16
1954,14
1955,16
1956,14
1957,15
1958,11
1959,18
1960,5
1961,19
1962,13
1963,10
1964,6
1965,6
1966,7
1967,8
1968,6
1969,10
1970,5
1971,9
1972,19
1973,18
1974,11
1975,18
1976,9
1977,15
1978,18
1979,20
1980,22
1981,25
1982,20
1983,19
1984,24
1985,31
1986,24
1987,24
1988,35
1989,33
1990,30
1991,40
1992,29
1993,31
1994,16
1995,32
1996,20
1997,34
1998,36
1999,46
2000,45
2001,37
2002,34
2003,50
2004,64
2005,38
2006,67
2007,65
2008,62
2009,75
2010,66
2011,69
2012,54
