year,Ennis
1880,5
1881,6
1882,8
1883,6
1884,9
1885,0
1886,0
1887,10
1888,10
1889,8
1890,8
1891,0
1892,11
1893,6
1894,8
1895,6
1896,10
1897,11
1898,15
1899,12
1900,18
1901,12
1902,10
1903,9
1904,16
1905,0
1906,7
1907,21
1908,19
1909,28
1910,24
1911,24
1912,38
1913,38
1914,51
1915,61
1916,67
1917,57
1918,70
1919,62
1920,64
1921,55
1922,68
1923,61
1924,48
1925,54
1926,51
1927,51
1928,42
1929,59
1930,47
1931,46
1932,43
1933,44
1934,46
1935,47
1936,42
1937,39
1938,51
1939,45
1940,37
1941,34
1942,35
1943,54
1944,38
1945,39
1946,54
1947,32
1948,35
1949,35
1950,34
1951,37
1952,45
1953,48
1954,30
1955,40
1956,35
1957,35
1958,27
1959,27
1960,27
1961,35
1962,22
1963,27
1964,20
1965,18
1966,16
1967,19
1968,20
1969,41
1970,30
1971,20
1972,28
1973,26
1974,19
1975,17
1976,28
1977,24
1978,21
1979,23
1980,16
1981,21
1982,13
1983,8
1984,9
1985,10
1986,12
1987,12
1988,10
1989,11
1990,14
1991,5
1992,9
1993,12
1994,0
1995,16
1996,5
1997,36
1998,13
1999,19
2000,15
2001,13
2002,6
2003,7
2004,7
2005,10
2006,11
2007,11
2008,9
2009,13
2010,0
2011,7
2012,9
