year,Elza
1880,25
1881,14
1882,14
1883,23
1884,24
1885,15
1886,19
1887,16
1888,17
1889,22
1890,15
1891,18
1892,17
1893,18
1894,22
1895,19
1896,28
1897,17
1898,16
1899,14
1900,24
1901,14
1902,16
1903,10
1904,23
1905,24
1906,17
1907,13
1908,13
1909,16
1910,19
1911,23
1912,36
1913,46
1914,49
1915,57
1916,67
1917,62
1918,80
1919,69
1920,82
1921,85
1922,79
1923,63
1924,80
1925,47
1926,66
1927,77
1928,40
1929,51
1930,59
1931,50
1932,51
1933,34
1934,25
1935,49
1936,35
1937,31
1938,30
1939,39
1940,21
1941,23
1942,20
1943,22
1944,34
1945,21
1946,14
1947,23
1948,17
1949,19
1950,15
1951,16
1952,14
1953,11
1954,10
1955,23
1956,15
1957,17
1958,5
1959,10
1960,8
1961,10
1962,21
1963,8
1964,12
1965,0
1966,17
1967,0
1968,7
1969,7
1970,13
1971,15
1972,9
1973,0
1974,5
1975,0
1976,10
1977,0
1978,7
1979,0
1980,0
1981,0
1982,7
1983,7
1984,0
1985,0
1986,0
1987,5
1988,7
1989,0
1990,11
1991,0
1992,8
1993,5
1994,0
1995,0
1996,0
1997,6
1998,0
1999,0
2000,7
2001,7
2002,0
2003,0
2004,5
2005,0
2006,5
2007,11
2008,9
2009,5
2010,10
2011,10
2012,14
