year,Era
1880,11
1881,9
1882,7
1883,14
1884,15
1885,21
1886,19
1887,21
1888,26
1889,26
1890,49
1891,45
1892,34
1893,43
1894,46
1895,47
1896,54
1897,72
1898,84
1899,48
1900,74
1901,65
1902,68
1903,79
1904,87
1905,67
1906,66
1907,84
1908,77
1909,79
1910,91
1911,78
1912,86
1913,95
1914,125
1915,145
1916,157
1917,145
1918,142
1919,155
1920,139
1921,135
1922,131
1923,122
1924,114
1925,123
1926,116
1927,108
1928,80
1929,89
1930,72
1931,59
1932,61
1933,64
1934,57
1935,55
1936,43
1937,39
1938,61
1939,43
1940,40
1941,32
1942,41
1943,30
1944,38
1945,38
1946,35
1947,46
1948,37
1949,30
1950,27
1951,27
1952,31
1953,24
1954,29
1955,24
1956,20
1957,20
1958,19
1959,27
1960,14
1961,15
1962,17
1963,17
1964,13
1965,12
1966,12
1967,7
1968,5
1969,17
1970,14
1971,13
1972,9
1973,6
1974,12
1975,7
1976,12
1977,11
1978,12
1979,8
1980,10
1981,0
1982,0
1983,0
1984,8
1985,10
1986,9
1987,6
1988,0
1989,6
1990,5
1991,0
1992,6
1993,6
1994,0
1995,0
1996,5
1997,11
1998,0
1999,6
2000,8
2001,0
2002,12
2003,11
2004,15
2005,14
2006,10
2007,14
2008,17
2009,15
2010,15
2011,19
2012,20
