year,Evelyn (F),Evelyn (M)
1880,0.000606,0.000000
1881,0.000602,0.000000
1882,0.000564,0.000000
1883,0.000641,0.000000
1884,0.000698,0.000000
1885,0.000793,0.000000
1886,0.000795,0.000000
1887,0.000784,0.000000
1888,0.000791,0.000000
1889,0.001107,0.000000
1890,0.001048,0.000000
1891,0.001263,0.000000
1892,0.001250,0.000000
1893,0.001405,0.000000
1894,0.001450,0.000000
1895,0.001795,0.000000
1896,0.001807,0.000000
1897,0.001989,0.000000
1898,0.002192,0.000000
1899,0.002364,0.000000
1900,0.002479,0.000016
1901,0.002793,0.000014
1902,0.002976,0.000013
1903,0.003177,0.000021
1904,0.003398,0.000017
1905,0.003918,0.000024
1906,0.004848,0.000023
1907,0.006521,0.000026
1908,0.005847,0.000018
1909,0.006175,0.000016
1910,0.006394,0.000024
1911,0.006325,0.000017
1912,0.005688,0.000018
1913,0.005877,0.000017
1914,0.006006,0.000013
1915,0.006328,0.000013
1916,0.006146,0.000013
1917,0.006245,0.000014
1918,0.006215,0.000014
1919,0.006312,0.000013
1920,0.006116,0.000011
1921,0.006116,0.000013
1922,0.005818,0.000014
1923,0.005722,0.000017
1924,0.005609,0.000016
1925,0.005359,0.000015
1926,0.005131,0.000017
1927,0.004957,0.000016
1928,0.004659,0.000018
1929,0.004509,0.000018
1930,0.004289,0.000022
1931,0.004035,0.000019
1932,0.003770,0.000019
1933,0.003474,0.000012
1934,0.003362,0.000017
1935,0.003140,0.000015
1936,0.002940,0.000015
1937,0.002703,0.000016
1938,0.002572,0.000010
1939,0.002419,0.000018
1940,0.002165,0.000010
1941,0.002023,0.000009
1942,0.001808,0.000007
1943,0.001740,0.000005
1944,0.001679,0.000006
1945,0.001650,0.000005
1946,0.001530,0.000007
1947,0.001456,0.000003
1948,0.001402,0.000004
1949,0.001300,0.000005
1950,0.001220,0.000003
1951,0.001149,0.000004
1952,0.001094,0.000003
1953,0.001055,0.000003
1954,0.000992,0.000003
1955,0.000948,0.000004
1956,0.000910,0.000004
1957,0.000866,0.000003
1958,0.000792,0.000004
1959,0.000786,0.000005
1960,0.000775,0.000002
1961,0.000709,0.000004
1962,0.000690,0.000002
1963,0.000648,0.000004
1964,0.000612,0.000003
1965,0.000552,0.000002
1966,0.000538,0.000003
1967,0.000508,0.000003
1968,0.000487,0.000002
1969,0.000418,0.000003
1970,0.000406,0.000002
1971,0.000379,0.000002
1972,0.000338,0.000003
1973,0.000336,0.000003
1974,0.000310,0.000003
1975,0.000287,0.000002
1976,0.000270,0.000003
1977,0.000263,0.000000
1978,0.000258,0.000000
1979,0.000256,0.000000
1980,0.000250,0.000003
1981,0.000298,0.000003
1982,0.000392,0.000005
1983,0.000329,0.000004
1984,0.000301,0.000003
1985,0.000317,0.000004
1986,0.000304,0.000003
1987,0.000281,0.000004
1988,0.000305,0.000004
1989,0.000305,0.000005
1990,0.000329,0.000004
1991,0.000325,0.000002
1992,0.000368,0.000005
1993,0.000357,0.000002
1994,0.000391,0.000003
1995,0.000412,0.000002
1996,0.000437,0.000002
1997,0.000433,0.000000
1998,0.000464,0.000000
1999,0.000532,0.000000
2000,0.000588,0.000000
2001,0.000719,0.000002
2002,0.000902,0.000002
2003,0.000974,0.000003
2004,0.000985,0.000003
2005,0.001167,0.000002
2006,0.001201,0.000003
2007,0.001265,0.000002
2008,0.001298,0.000003
2009,0.001462,0.000000
2010,0.001581,0.000002
2011,0.001835,0.000002
2012,0.001882,0.000004
2013,0.002105,0.000004
2014,0.002363,0.000001
2015,0.002534,0.000005
2016,0.002761,0.000002
2017,0.003007,0.000003
2018,0.002971,0.000004
2019,0.003013,0.000002
2020,0.002858,0.000002
