year,Enriqueta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,7
1902,0
1903,5
1904,10
1905,5
1906,0
1907,6
1908,5
1909,5
1910,13
1911,8
1912,10
1913,9
1914,11
1915,28
1916,17
1917,18
1918,24
1919,27
1920,37
1921,39
1922,44
1923,49
1924,48
1925,60
1926,40
1927,45
1928,48
1929,40
1930,39
1931,43
1932,42
1933,32
1934,33
1935,26
1936,20
1937,24
1938,22
1939,17
1940,17
1941,20
1942,19
1943,35
1944,31
1945,20
1946,22
1947,26
1948,27
1949,27
1950,19
1951,21
1952,18
1953,22
1954,27
1955,20
1956,21
1957,17
1958,16
1959,22
1960,14
1961,16
1962,12
1963,13
1964,12
1965,18
1966,16
1967,8
1968,13
1969,18
1970,11
1971,12
1972,17
1973,10
1974,22
1975,19
1976,13
1977,14
1978,11
1979,14
1980,8
1981,21
1982,8
1983,12
1984,11
1985,5
1986,5
1987,7
1988,6
1989,0
1990,8
1991,8
1992,0
1993,9
1994,8
1995,6
1996,7
1997,9
1998,0
1999,5
2000,7
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
