year,Estell
1880,9
1881,0
1882,8
1883,0
1884,13
1885,14
1886,10
1887,15
1888,8
1889,19
1890,32
1891,20
1892,18
1893,31
1894,33
1895,23
1896,37
1897,22
1898,22
1899,47
1900,76
1901,37
1902,39
1903,37
1904,53
1905,49
1906,68
1907,52
1908,73
1909,64
1910,110
1911,68
1912,115
1913,107
1914,127
1915,141
1916,147
1917,152
1918,159
1919,155
1920,179
1921,145
1922,162
1923,150
1924,118
1925,126
1926,120
1927,115
1928,104
1929,96
1930,93
1931,74
1932,83
1933,60
1934,65
1935,45
1936,40
1937,47
1938,59
1939,37
1940,37
1941,40
1942,30
1943,30
1944,37
1945,41
1946,27
1947,22
1948,22
1949,36
1950,40
1951,19
1952,33
1953,23
1954,19
1955,16
1956,8
1957,17
1958,8
1959,10
1960,12
1961,10
1962,11
1963,8
1964,17
1965,8
1966,0
1967,0
1968,5
1969,8
1970,6
1971,11
1972,5
1973,6
1974,0
1975,0
1976,0
1977,5
1978,0
1979,11
1980,8
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
